Brand,Tensile Strength (MPa),Hardness (HB),Elongation (%),Thermal Conductivity (W/m·K),Specific Heat (J/kg·K),Melting Temperature (°C),Carbon (%),Silicon (%),Manganese (%),Magnesium (%),Phosphorus (%),Sulfur (%)
EN-GJS-600-3,611.9360093,299.9460329,16.04235231,28.37164571,450.2379234,1274.904062,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-450-10,682.8920383,218.2642867,2.666509094,25.85032851,538.7780641,1224.011005,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_450-10,707.1118006,271.7351035,8.362361273,26.64411142,409.9803914,1286.744937,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-600-3,434.9160718,275.9161332,14.19694451,25.87551812,436.5664248,1289.202136,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-400-18,602.4415825,234.8827038,9.278702232,20.82998334,524.7584018,1174.813023,3.5,2.2,0.3,0.04,0.05,0.01
ASTM_A536_60-40-18,772.8057369,211.9948092,6.276042077,32.74189402,418.9389728,1150.348511,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-500-7,528.2568769,316.5085446,5.516885581,31.94584841,519.0265169,1297.589641,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-500-7,637.553239,218.3052578,4.104292271,33.06766997,542.2018798,1285.92063,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-450-10,547.6921926,289.1436126,15.71407296,23.84619792,535.3799842,1158.316785,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-600-3,581.7071889,340.4673761,11.20568645,25.91309083,660.7524572,1274.95514,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,619.4412472,331.4157789,3.22215912,32.39231854,559.0187365,1218.67074,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_80-55-06,619.568792,241.6628936,8.121285177,31.99255137,540.3941387,1188.844241,3.8,2.6,0.4,0.05,0.05,0.01
EN-GJS-600-3,480.6921849,327.7172956,7.883738413,30.12660619,523.2127736,1281.811979,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_500-7,673.8286192,200.0498759,4.907827051,27.008265,645.2870135,1179.500085,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_100-70-03,435.1472445,202.6531714,8.968122008,38.2586201,668.5169812,1292.095,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-400-18,455.5299094,290.3829746,7.313589846,26.79540485,655.9727408,1180.843223,3.5,2.2,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,401.0843598,254.7197329,7.468859288,29.11238313,602.0639734,1242.052478,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_400-18,446.6784257,257.9691262,13.82442492,33.56227662,441.2085238,1183.46295,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_80-55-06,589.2664804,284.6661636,5.572214168,30.86042862,483.0609908,1231.8503,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_500-7,642.4407524,228.7673683,12.26975934,26.93771953,413.8189191,1252.596269,3.8,2.5,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,717.71578,231.7633026,11.13039398,28.71289581,679.2472225,1178.53419,3.6,2.3,0.4,0.04,0.04,0.02
EN-GJS-400-18,442.6797,272.6902381,11.0894802,35.88961636,598.2395589,1228.132867,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,740.290984,313.1380317,12.60811754,25.56258311,623.9088653,1220.358962,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_65-45-12,698.3898102,292.9246627,10.77411258,22.8451048,493.4715219,1160.655613,3.7,2.5,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,563.4073172,244.6032572,16.06808184,26.26326404,653.6960567,1272.746173,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-400-18,773.1752268,264.5505766,12.80928147,36.99068431,477.8809851,1200.35236,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-600-3,796.3717906,225.5997138,10.75141202,21.7797943,400.4931271,1236.18733,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_65-45-12,482.000724,211.1944722,15.27620992,39.83392147,512.9244888,1227.217635,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-450-10,551.691434,317.4044061,11.69834504,30.82005798,571.2284443,1226.989076,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-400-18,770.5797694,239.8081114,6.658307965,39.69691488,543.6114574,1166.083359,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-450-10,688.6386203,226.6649582,5.313518691,38.77992844,658.6228428,1213.522301,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_400-18,419.2378576,303.7427083,4.437244571,29.05627428,431.6215858,1217.855014,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,712.6057927,292.7077511,16.3912834,23.96982149,566.1470322,1260.046426,3.7,2.5,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,731.1763549,294.9784439,13.36216691,23.29769553,553.8938049,1276.002825,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-600-3,700.2007699,234.3341907,16.99805501,24.79978728,484.4178947,1231.747342,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,719.8148524,234.8968308,11.65266889,34.20265281,646.6684338,1163.017443,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_500-7,730.0530707,233.1203945,9.574414104,25.45899989,625.8545968,1185.527421,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-600-3,474.5619947,226.0628893,2.955463824,26.82850539,619.8577562,1174.740104,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_600-3,494.2766984,298.3585509,12.7462765,28.97557608,662.8577435,1168.692259,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_80-55-06,653.5034255,327.2023828,11.31534016,38.26465361,616.8353802,1204.884895,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_60-40-18,763.1464522,308.6476205,17.8433423,23.78786836,469.5523875,1184.409025,3.6,2.4,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,526.4786329,318.8140451,5.826540445,20.10053105,611.6688135,1182.745467,3.9,2.7,0.4,0.05,0.05,0.01
ASTM_A536_65-45-12,635.3226703,260.7197644,10.49179768,21.20192821,492.310844,1158.203976,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_600-3,673.1928254,298.1113693,12.41531736,38.09532683,472.6523951,1152.650507,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_100-70-03,580.7794405,253.1354361,12.3134588,32.9503293,421.9010779,1165.415236,3.9,2.7,0.4,0.05,0.05,0.01
ASTM_A536_65-45-12,685.5129819,278.8256933,10.98069669,25.46081239,623.2085741,1175.829622,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_450-10,759.8669781,272.245227,14.43084817,23.54385002,613.3002886,1214.647559,3.7,2.4,0.4,0.04,0.04,0.02
ISO_1083_JS_450-10,649.6406177,226.5330718,5.279699352,25.88533473,470.3498433,1226.578039,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-450-10,615.9124248,258.0618141,13.6100352,22.29593855,624.813705,1171.088788,3.6,2.3,0.3,0.04,0.05,0.01
ASTM_A536_100-70-03,575.4978702,344.5733413,11.91575314,38.83065821,675.3522649,1213.717501,3.9,2.7,0.4,0.05,0.05,0.01
ISO_1083_JS_450-10,630.9945084,237.2870387,16.33720179,35.68412349,432.4086872,1201.262326,3.7,2.4,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,542.1449807,220.0705604,15.55511102,29.24782354,469.7909915,1177.513547,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-450-10,556.5928441,262.7870932,7.042352626,37.2992521,625.0782382,1151.026112,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-600-3,612.7429919,318.5506604,6.4197972,24.98916409,482.3520021,1220.05268,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_65-45-12,426.647645,287.3222345,17.70645318,34.34241137,587.3991923,1252.847762,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-450-10,491.6101564,302.1462241,10.43624289,37.12264998,424.3492673,1183.9416,3.6,2.3,0.3,0.04,0.05,0.01
ASTM_A536_100-70-03,617.1397242,228.4542272,16.50273542,27.13537423,535.6607437,1169.771024,3.9,2.7,0.4,0.05,0.05,0.01
ISO_1083_JS_600-3,572.6112573,292.842229,4.62209638,35.14928891,621.7274266,1283.056412,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_500-7,533.1263144,248.5250592,12.28510264,25.90144699,605.9541829,1191.253716,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-600-3,692.2196547,325.1455049,14.957763,25.97714271,644.5216302,1183.541893,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-400-18,677.487043,294.3948209,17.15832399,22.14114357,663.235638,1278.564541,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,466.692304,229.8284417,7.397442256,28.80116093,631.9550504,1272.566065,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,751.4516461,209.692502,13.59969872,34.59423813,601.4763229,1217.251971,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,598.1694506,206.3949814,10.62100814,38.80441611,409.5167475,1223.385829,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_400-18,696.5843645,255.7112851,2.970062817,32.07593984,560.490002,1182.662306,3.6,2.3,0.4,0.04,0.04,0.02
ISO_1083_JS_600-3,629.2603397,239.8776705,13.0399958,37.26271075,411.3093175,1161.745251,3.9,2.6,0.4,0.05,0.04,0.02
EN-GJS-450-10,799.0770464,296.9135185,13.04154493,36.44989299,642.4203451,1236.014774,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-400-18,700.961248,274.9000752,16.88970888,23.46686106,496.2173573,1164.751738,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-600-3,682.7921845,239.9028917,9.956999139,29.71634858,568.7288122,1217.391182,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,711.4287756,222.3856667,5.684014731,22.33847071,483.8335922,1291.07458,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,457.2511942,219.0799644,2.713021175,33.64306323,634.7500433,1292.925158,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-400-18,481.8178373,329.6990588,8.650274987,38.99799336,665.950758,1185.899843,3.5,2.2,0.3,0.04,0.05,0.01
ASTM_A536_60-40-18,685.6256329,236.5216953,6.830667201,22.74178916,519.5927483,1243.617013,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-400-18,597.5925949,297.7565972,14.1774129,34.67766262,658.8767181,1221.11144,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,701.8541167,321.6028892,7.668284237,32.64476302,480.1225022,1281.352769,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-400-18,441.1664123,292.1121967,17.18513914,31.67210074,560.3982769,1190.71463,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,614.5925406,328.9347847,17.39696325,27.80240469,657.628429,1150.555361,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_60-40-18,551.5286262,258.8590582,11.93453744,27.10263296,497.7644028,1174.384181,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-600-3,582.8000877,343.4333286,16.85856459,20.90498378,686.2126795,1202.42842,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_600-3,641.5831488,219.9717506,14.17366951,24.35817417,436.5638505,1197.358169,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_600-3,600.915339,215.3224294,10.74975426,20.30353765,405.4825209,1268.704438,3.9,2.6,0.4,0.05,0.04,0.02
EN-GJS-500-7,615.9442548,298.8038219,4.884926967,31.62834211,671.2406058,1252.0841,3.7,2.4,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,594.5429928,341.4246712,9.337567096,22.11706472,420.5945998,1194.933448,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_60-40-18,563.5820708,321.3325192,10.97399141,37.46038788,697.5667588,1218.661573,3.6,2.4,0.4,0.04,0.05,0.01
ISO_1083_JS_600-3,708.7527922,211.4625289,15.82338529,30.46286041,685.4190586,1164.333866,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_80-55-06,404.8812289,241.9051571,9.701334025,33.99379818,441.106273,1284.721967,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_80-55-06,639.3770805,339.5478327,16.36279476,28.21714184,561.2753877,1290.313724,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_60-40-18,626.2033389,237.9587649,12.78958366,31.21159618,455.4760892,1296.97053,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-500-7,686.4716299,317.1755636,4.191985009,38.85318354,528.4465519,1280.282925,3.7,2.4,0.3,0.04,0.05,0.01
ISO_1083_JS_400-18,639.6117459,323.7698294,17.91970191,21.65468079,418.4275388,1176.094133,3.6,2.3,0.4,0.04,0.04,0.02
EN-GJS-450-10,730.7195311,274.3178155,10.43572257,25.07875544,467.1773763,1156.929472,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,783.6299178,257.9523365,8.269732743,35.59976654,508.9818389,1236.939509,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-450-10,537.0097029,267.5186649,12.54582023,21.97474414,531.5942501,1286.890754,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-400-18,490.9403932,234.0447042,3.742293024,21.51322208,693.2488775,1176.602704,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-600-3,569.438745,333.4086374,12.18461835,27.23082798,642.3596937,1151.056437,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_500-7,515.1718466,267.5929485,9.971776008,21.84335917,621.2229833,1270.824407,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-400-18,645.9801053,332.3689161,8.50678512,31.70156884,561.1123944,1161.519353,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,764.7409635,215.854022,17.24832034,24.52550502,651.9993282,1212.055905,3.9,2.6,0.4,0.05,0.04,0.02
EN-GJS-600-3,455.6464777,348.2412907,10.36063547,37.91395926,501.7968507,1251.833101,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_65-45-12,440.3178412,266.4909631,5.505879672,35.67000162,612.6697338,1185.519638,3.7,2.5,0.4,0.04,0.05,0.01
ASTM_A536_60-40-18,502.4062127,207.1746231,9.34341567,33.99410412,698.1351926,1162.594385,3.6,2.4,0.4,0.04,0.05,0.01
ISO_1083_JS_500-7,690.4382344,205.7032772,16.71019847,32.33888055,494.3886727,1265.503184,3.8,2.5,0.4,0.05,0.04,0.02
ISO_1083_JS_500-7,637.1851621,311.9310886,4.817527541,37.26931461,602.2052605,1244.526263,3.8,2.5,0.4,0.05,0.04,0.02
ISO_1083_JS_600-3,440.8850657,298.8553301,5.423312619,24.46124123,653.2944592,1298.273573,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,767.5002089,320.3195837,2.208473084,37.46217686,674.742275,1201.646205,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_80-55-06,716.0338548,215.8051301,2.22704079,35.78984597,615.3798073,1159.264358,3.8,2.6,0.4,0.05,0.05,0.01
EN-GJS-600-3,409.2090419,205.3356301,15.27026603,34.96321653,485.082377,1260.152505,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_600-3,660.5468844,276.2868934,13.71396171,31.22511356,497.8846455,1228.260013,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_450-10,708.4986674,258.1392847,7.680656903,24.92488322,406.2274096,1181.98059,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-500-7,549.7741479,269.2920405,13.17297852,28.47095832,628.2657933,1267.259348,3.7,2.4,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,427.5686157,348.7382613,8.323294821,35.87141309,412.8218818,1180.563323,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_60-40-18,430.9284262,345.6124937,17.24634874,20.63556969,659.3957064,1189.099248,3.6,2.4,0.4,0.04,0.05,0.01
ASTM_A536_80-55-06,441.6987864,341.3473085,17.4728429,35.64101539,435.5981843,1163.879283,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_400-18,736.1758528,317.5764015,8.284700413,24.80141481,451.5629536,1209.914842,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_80-55-06,764.2744793,253.226204,15.6675505,22.88618401,542.9579412,1212.839384,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_60-40-18,449.1243127,261.8196395,14.36942467,22.31402636,621.3641246,1227.184269,3.6,2.4,0.4,0.04,0.05,0.01
ISO_1083_JS_400-18,494.3624138,282.4424066,6.959998995,20.54500024,441.7006616,1256.34464,3.6,2.3,0.4,0.04,0.04,0.02
EN-GJS-450-10,466.2082041,324.5801685,5.712637262,30.4717297,532.0213225,1285.915139,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,474.5283518,210.3069249,9.331754406,24.36519745,544.8553823,1170.660115,3.8,2.5,0.4,0.05,0.04,0.02
ISO_1083_JS_500-7,734.9963156,263.6445329,14.50158145,39.78863532,463.6856925,1158.152215,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-500-7,532.8585651,212.3926495,17.36268456,31.48873512,434.667513,1152.779685,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-400-18,524.5777056,277.198638,14.2172651,22.75770539,650.9262769,1171.543207,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-450-10,490.9582484,334.8351236,15.68331176,33.77525082,550.7396949,1248.692423,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-450-10,643.1577575,317.3727387,11.6490289,37.95487133,404.3143708,1259.121562,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-600-3,551.7222794,234.1763626,15.36652529,34.90358991,640.8943904,1267.975857,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_80-55-06,697.6998607,346.3986274,14.55073373,21.52879722,694.2381416,1186.556232,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_500-7,482.2319234,300.1025597,8.031768671,37.91768362,581.7778586,1195.884222,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_60-40-18,715.1159555,201.5641549,10.83184483,35.87858772,551.1125161,1222.470197,3.6,2.4,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,641.4886127,238.3120227,14.87604995,23.166078,663.5247589,1159.477465,3.9,2.7,0.4,0.05,0.05,0.01
ASTM_A536_100-70-03,445.70692,239.106995,2.736907747,21.03571777,685.7550369,1241.671228,3.9,2.7,0.4,0.05,0.05,0.01
ISO_1083_JS_400-18,565.8018337,210.3881459,14.92926852,31.14621151,626.3610748,1297.560255,3.6,2.3,0.4,0.04,0.04,0.02
ISO_1083_JS_500-7,745.4072562,343.9739777,4.846209985,23.12071623,533.6358789,1204.120947,3.8,2.5,0.4,0.05,0.04,0.02
ISO_1083_JS_500-7,769.1840927,271.7382942,10.23493787,36.69181905,577.6664198,1262.927121,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-500-7,586.2800489,334.3721896,14.93240703,27.16669313,610.2806095,1225.005087,3.7,2.4,0.3,0.04,0.05,0.01
ASTM_A536_100-70-03,592.3347912,248.3323255,6.061137251,38.25784889,458.2820713,1169.171777,3.9,2.7,0.4,0.05,0.05,0.01
ISO_1083_JS_500-7,767.38189,218.7850356,5.932919029,31.31376344,534.1603097,1237.335617,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-500-7,634.8272897,271.1504165,8.444230375,23.65344768,648.9463794,1194.98114,3.7,2.4,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,413.1386681,217.0934952,16.31428476,22.79197735,596.4176045,1155.160481,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_450-10,765.0997852,272.9023254,2.007084503,31.52944875,523.3612202,1245.23946,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-600-3,499.2905771,338.0445772,16.42212955,35.23767224,599.0087602,1278.839852,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_65-45-12,631.0527816,278.1152213,4.460912394,35.63011295,435.4667236,1201.715465,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-450-10,466.205327,292.474959,17.84138202,25.51514809,520.4492832,1208.544332,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-400-18,413.5516641,223.4957655,17.27755189,24.08493518,637.9385614,1283.653252,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_400-18,524.5892685,206.5603439,9.914803033,20.33512609,466.1526361,1272.041322,3.6,2.3,0.4,0.04,0.04,0.02
ISO_1083_JS_450-10,712.198283,216.6211943,10.20352397,33.58398302,455.7884523,1257.242924,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-600-3,511.0348691,289.7797364,9.704789444,21.53136517,685.245598,1187.31956,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,488.0388856,214.2517548,12.16709833,28.41522404,462.9692889,1286.532498,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,485.0723137,256.3989335,3.451547236,32.03364328,478.2755739,1173.162364,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,606.069473,282.5137911,2.521887173,38.7421789,690.8847817,1244.015578,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_100-70-03,790.2165263,258.2979198,2.923246855,26.23604274,620.4125711,1154.320177,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-500-7,583.5955952,224.5525702,9.109845588,24.99544325,609.8789599,1246.557971,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-450-10,622.9221476,241.0686961,6.408767028,33.08320309,655.8779152,1191.571653,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,744.2528072,339.2476299,11.952633,32.38478064,434.7469247,1217.451547,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-600-3,614.0278876,301.3973413,17.87907663,26.64219567,611.786871,1201.789683,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-400-18,473.7851486,274.4071758,8.181170769,38.56203671,551.1065828,1175.913513,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,519.8383647,201.9072335,11.18146007,36.89724655,648.7451921,1243.297119,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_60-40-18,523.9747705,348.8623101,8.649662335,24.47965092,552.4425156,1282.296333,3.6,2.4,0.4,0.04,0.05,0.01
ASTM_A536_60-40-18,558.9272462,300.7182402,15.55634668,24.78285091,586.0724063,1293.862636,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-400-18,570.7155621,247.5383716,16.43578246,30.24600694,543.3226379,1178.851954,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-500-7,719.9128088,331.890299,16.0376898,35.47144203,543.4476771,1257.605916,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-400-18,539.7547996,238.764743,17.58995582,20.88080759,630.3909934,1249.650905,3.5,2.2,0.3,0.04,0.05,0.01
ASTM_A536_100-70-03,587.2927314,281.6024869,2.440306962,33.86670307,588.5699202,1201.506668,3.9,2.7,0.4,0.05,0.05,0.01
