Austempering Temperature (°C),Austempering Time (minutes),Initial Temperature (°C),Carbon (%),Silicon (%),Manganese (%),Strength (MPa),Melting Temperature (°C),Thermal Conductivity (W/m·K),Thermal Expansion Coefficient (1/K),Specific Heat (J/kg·K),Phase Transformation Temperature (°C),Cooling Rate (°C/min),Hardness (HV)
389.7771075,48.08503287,1188.802132,0.292608505,1.985905411,1.241108074,463.5833142,1434.707163,23.27838336,1.68E-05,668.5318677,818.4946531,55.55548827,468.2617587
393.1264066,41.54298024,1043.410909,0.627920275,0.396782865,0.415885128,747.4412806,1378.291928,43.83152675,9.63E-06,597.7733611,839.6315487,52.17800868,516.000794
361.6794696,134.4433164,939.8025488,0.625006306,1.977999889,0.821501069,464.9777742,1534.447446,22.9690587,1.47E-05,503.4360786,883.5569283,54.55351901,479.454799
260.9227538,80.98124457,845.638314,0.920835962,1.956831872,1.272669032,799.5621982,1305.986825,28.14144185,3.04E-06,668.0945947,782.5513839,39.41950767,510.3092653
219.5344228,138.7150157,860.4987315,1.962700608,1.608254397,1.942655843,911.5746242,1379.453037,45.65328266,1.71E-05,487.4550784,676.38806,39.61538896,502.6971098
336.8466053,39.80345112,890.126772,0.228254839,1.352903628,1.482499162,388.7612594,1415.076851,30.39407861,1.50E-05,568.813463,877.2443847,45.601948,448.0693318
288.0304987,77.29355067,900.3866645,1.085531889,1.197833395,1.852947138,906.616982,1465.449888,49.19136049,5.02E-06,429.9192917,832.5947262,42.89925533,540.2636925
224.407647,110.9236939,1140.246423,0.440792896,1.745592936,1.548202911,715.5026781,1513.58874,49.39203004,3.76E-06,676.586689,772.3285449,40.01046902,513.613924
299.035382,148.6084747,1024.489115,1.944285436,0.649935091,1.224262241,388.9773436,1357.922913,28.04828061,7.01E-06,442.2311373,808.6920647,49.3832848,417.5304899
206.8777042,77.81287544,1009.356365,0.315276659,0.988594304,0.464844401,599.2792988,1458.418778,21.22934667,1.95E-05,467.4690417,877.2949065,34.29300008,485.4363127
381.8640804,123.8837065,845.9075487,0.866841904,1.276840942,1.366702739,412.6022054,1260.244381,41.15189853,5.88E-06,567.4402474,813.7182085,52.72004731,428.787099
251.7559963,162.8966622,1144.055877,1.501981471,0.881261904,1.284421175,790.2435222,1573.05924,33.52959508,9.67E-06,629.2279001,710.5123523,47.27607195,514.6194965
332.5044569,122.3794782,1089.125721,1.438653413,0.912224263,1.244691424,831.2076941,1353.223523,23.02258532,1.57E-06,585.8053918,813.9084607,52.22977707,524.5132766
262.3422152,64.94392121,827.0673448,0.90318441,0.727540868,1.030593149,374.0575642,1491.808569,41.22568457,8.55E-06,469.6401738,612.0834488,38.69395573,401.6708794
304.0136042,33.66011723,1083.134039,0.758395919,1.172040452,1.104447548,654.2978969,1208.136433,20.93524727,1.19E-05,400.2829128,715.9246685,45.53254866,436.610667
309.3420559,160.5148311,1017.415287,0.855463519,1.716091603,0.735440802,870.2375392,1282.074857,46.10590071,1.91E-05,627.1451741,721.8969096,49.95598189,519.3607938
236.9708911,33.19041163,832.6901383,0.6021249,0.482903918,1.086694116,955.3141291,1394.833018,24.15957587,1.08E-05,695.5621978,650.0514703,35.66948674,537.9906113
393.9169256,161.2052509,983.3202566,0.490132584,1.875422774,0.475356221,659.4625067,1551.300987,23.81935636,1.66E-05,642.9739361,606.9256442,58.36349612,477.7847657
355.0265647,109.3405701,993.8785149,1.017775425,1.409266542,1.629831355,965.1954565,1410.90206,25.27016894,1.14E-05,538.0619854,640.014371,51.14135332,517.5753078
387.8997883,170.8601548,866.3098161,0.610214137,1.664219104,0.452976214,674.9822793,1571.948193,48.80799075,1.77E-06,671.1301784,796.3864487,58.73909296,521.1344842
378.9654701,149.8174854,1178.279259,0.646177163,1.156762316,0.261435951,575.9333462,1393.518759,40.79508081,6.99E-06,522.9543019,840.6866449,58.88332918,480.8300573
319.5799958,179.6901166,1139.990149,1.347836521,1.581081733,0.92886745,893.74219,1396.179639,44.04114606,1.19E-05,557.4802253,896.4610478,53.55540213,553.6503383
384.374847,82.60677232,1067.608935,1.94022093,0.130780755,1.350784135,645.0878973,1247.898715,31.92904957,1.91E-05,543.1389302,703.9090509,55.25058544,441.0870031
217.6985004,145.0782433,984.9182244,1.246910681,1.654922807,0.931661967,630.3317574,1521.062498,30.08938183,1.73E-05,534.2871618,779.8137667,39.77550559,491.5285603
239.1965725,90.28963704,964.7062166,0.246260987,0.176263832,0.625832851,643.2187426,1298.786165,27.0345202,5.34E-06,632.5572308,881.14349,39.21152652,493.703169
209.0454578,101.981343,1060.389387,0.243608866,1.790835415,1.160525249,892.7495013,1559.844996,34.41944085,5.18E-06,558.0306722,650.1125344,35.10758834,517.2702399
265.0660662,124.1258195,1018.172748,1.90770412,1.98472922,0.759304437,882.3590792,1564.329688,36.55486201,4.82E-06,495.0151366,815.2936759,43.57595545,547.2938964
277.7354579,161.0515671,824.9092424,0.664852502,0.658728178,1.872448611,582.4639947,1577.324045,38.95324531,1.85E-05,477.4474503,826.4936199,45.95901074,488.7407105
254.2698064,177.6125204,1005.00106,0.274927274,0.499605257,1.853025765,533.3099019,1408.092196,27.71355512,1.72E-05,411.3241951,626.6926608,44.76591208,408.2674515
365.7475018,145.2410121,1122.561447,1.238184716,1.554190391,1.054506458,644.3496168,1470.837514,48.45962243,1.57E-05,574.9585486,858.3748156,56.56620832,508.3749318
271.3506653,92.66501733,983.695951,1.284932679,0.580750048,0.722979589,700.9407568,1511.406352,25.09275495,8.46E-06,468.9884246,843.9315141,41.21977852,513.099268
256.1869019,93.20355034,820.782631,1.332159158,1.744568528,1.500551587,466.8360474,1252.405847,48.96959524,1.06E-05,444.4401766,610.020902,41.82412147,381.8627643
308.5392166,140.6373452,1114.51128,0.608063853,0.295400925,0.169754593,855.7685593,1440.382878,20.44568368,9.82E-06,596.1489891,627.3253245,50.64803449,507.6566644
228.184845,65.81657187,880.5455129,0.1287103,0.339314873,1.002061111,640.537936,1213.719161,34.43377075,5.81E-06,604.3627773,614.7380682,35.08064484,426.7842291
360.4393962,46.57111697,903.448334,1.933529202,1.960387955,0.739014449,533.8318839,1399.026433,30.00103514,1.06E-05,625.6464677,700.4230595,48.70496682,461.4049514
214.9101287,83.19332365,865.8825414,0.576696787,1.380293907,1.849018182,374.7746951,1261.937073,33.47370242,1.58E-06,551.0730689,752.7866972,36.41134903,406.4306756
397.3773873,73.08584875,932.0860259,1.384449947,1.709085726,0.122805752,467.1916123,1273.16917,37.11993737,3.50E-06,668.2163816,759.7043184,55.92487372,442.1018232
354.4489539,74.44621807,1102.700602,1.442596753,0.716225817,1.150348264,964.4968202,1346.019027,33.06767474,1.78E-05,680.902826,680.3000279,52.31420834,523.844771
239.7431363,65.04116266,1007.754344,1.259014092,1.385319124,1.507260804,513.5697808,1372.974867,32.44540551,1.53E-05,642.2112819,873.479066,40.82227281,480.2399743
201.1044234,36.31397845,881.9525097,0.694524049,1.229059472,1.021534176,418.2015026,1449.26897,41.98170246,9.03E-06,590.6780446,710.478837,30.74360173,432.9722654
363.0922857,32.68109021,1151.132031,0.615082882,1.245985228,0.262265757,622.4709542,1229.771367,40.57628825,1.08E-05,491.1162861,613.6650468,49.36900672,420.9139695
341.3714688,178.1583585,1151.832742,1.235569737,1.396811673,1.947676641,514.9614204,1401.476704,44.99813846,8.03E-06,694.8834765,690.0681335,54.8008148,450.0764305
345.8014336,94.16597006,1148.23137,1.745581704,1.193182429,1.08421982,324.6114752,1273.050052,27.49876944,1.51E-05,482.2408502,759.3328268,52.66010576,388.9600666
354.2540693,87.64899707,895.5184846,1.898794085,0.915218502,1.266953864,526.2016521,1429.59007,38.28585529,1.59E-05,460.7970766,722.4665468,50.41599855,446.3392805
214.8089303,131.9470924,980.4957377,0.301221028,0.624253119,0.549558587,680.8760368,1454.961845,37.55584356,1.55E-05,532.6462341,682.1527557,38.17905208,473.3983944
271.6931457,62.73808318,1193.995862,0.394174364,1.560304529,1.018646362,686.1986604,1422.683703,31.09213433,1.47E-05,417.0521712,639.3969749,43.9243438,458.3510832
223.1738119,172.4941776,1108.804991,1.894998892,0.529917617,0.915384035,549.5912448,1495.318204,34.58172626,4.89E-06,693.5483394,845.74935,44.55202012,497.0514479
372.6206852,147.9517522,810.8669685,1.499416934,1.415473182,0.2423021,613.1119294,1334.243698,29.4134643,7.42E-06,576.5300669,898.8435726,52.46547424,492.7651767
324.6596254,43.41165035,826.0818365,1.777688267,0.543332363,0.301704672,975.8625428,1506.042637,24.25533193,9.93E-06,567.0856275,698.8626401,43.41257617,547.5486009
266.179605,92.63711637,985.5725507,0.485002005,1.288127323,1.691197787,564.1439341,1373.106833,26.41403632,7.29E-06,596.738884,714.4863133,42.89286417,445.9164482
212.7116701,161.8677461,1163.688082,1.216413155,1.519448708,0.555657909,480.7587693,1393.673799,23.16540939,1.53E-05,549.1070943,785.4112574,41.70886922,442.6030485
262.1964643,171.7098033,1015.480719,1.432165229,0.515556389,0.470420716,470.4269308,1459.240851,40.49208726,7.26E-06,409.6190551,815.5324424,45.12657139,451.5898945
265.0366644,100.1102267,999.1250032,1.392212582,0.213892272,1.059331757,620.4352289,1207.343354,39.82182179,3.63E-06,583.6933867,717.6088604,43.49110556,442.8439134
345.9212357,122.0117084,842.18948,0.875488213,0.348850112,1.56061955,831.6641041,1461.597689,48.51819115,8.58E-06,614.8521631,871.4788551,48.67962677,541.6042316
327.5114943,55.05509191,1062.712042,0.129250294,1.251394238,0.217698385,444.1917289,1447.43406,41.89035241,1.96E-05,525.0247182,768.0011968,46.31302773,451.1216167
377.4425485,178.6752939,1128.841264,1.207559508,1.713948172,1.195935047,796.507289,1323.938847,21.56137516,5.29E-06,627.1886716,735.1170229,59.65222743,495.5465948
294.442985,64.75075521,952.168003,0.580892924,0.18549396,0.326499841,314.8048763,1234.317714,46.52735522,1.26E-05,468.1003898,794.0018259,42.041091,395.2501157
223.9188492,171.4097661,1110.24474,0.955483068,1.494887392,0.169275997,593.2530846,1236.37418,45.88025489,9.23E-06,466.3829773,885.8411545,43.80803924,468.7340023
342.6489574,127.4469973,1185.790662,1.919403929,0.748505427,0.200213509,843.1055456,1569.289499,33.29960962,2.35E-06,448.4250963,838.3656883,53.15057155,525.6775452
352.1570097,121.1605192,881.5065837,0.858167104,1.009203903,1.684911806,537.113069,1475.711728,37.57589152,1.03E-05,511.5984279,612.0039392,52.56623935,429.0966268
312.2554395,106.9032767,1009.331852,1.695623053,1.864833145,0.324147719,694.615971,1250.841046,49.28234997,1.43E-05,654.1036106,699.6929732,48.01037102,474.0624383
354.193436,64.60047176,914.8551832,0.458227151,0.730745859,0.185787592,443.485463,1342.689268,35.96913092,1.08E-05,648.3736186,741.1634055,48.95468401,439.6060659
298.7591193,56.4792048,1117.141768,1.377674946,0.984140174,0.932009786,819.3967738,1436.993198,47.15965485,1.76E-05,514.8472624,694.3552717,45.78779528,504.8100414
304.5465659,63.07293136,1031.037346,1.956313213,0.125996588,1.703587597,336.5953723,1534.228682,22.49116273,6.49E-06,576.7356208,810.0562682,44.64780972,439.61386
285.5082037,57.96573932,1053.832967,0.293596892,0.255037568,0.598575915,896.7798514,1217.464371,25.73155606,2.64E-06,616.2448949,847.880745,40.27697535,537.152146
205.0838253,146.937671,1119.165664,0.11580789,0.591324023,0.901253973,438.7374705,1294.653253,33.2226483,1.88E-05,472.3620324,819.4035286,39.82323043,426.5442156
221.5782854,82.51878888,958.3881891,0.923807306,0.152919258,0.175852812,912.0786222,1555.899596,37.54270425,8.19E-06,450.4423258,896.799986,36.48288821,557.234712
206.2858371,38.67640148,1166.036027,0.275988418,1.299613119,0.953249177,546.7704689,1203.66622,44.48683556,1.20E-05,691.628798,681.7642944,35.49711807,430.9721545
327.2820823,175.3653945,1013.211547,1.521930264,0.910156878,1.197464853,805.8785021,1280.559641,49.64786345,1.60E-05,585.267194,862.4968485,52.67557111,515.4295947
262.8711962,162.5678827,863.1819291,1.837642461,1.141475885,1.184723402,523.4577085,1583.60967,31.66554489,7.16E-06,694.4247166,829.9867996,44.11511403,505.1235475
301.7141382,169.1628425,1078.359647,0.924639848,0.431829653,0.731610715,934.1381699,1445.360739,21.42246908,1.46E-05,501.3267961,708.6536273,52.15981639,516.725369
381.5132948,179.2361734,1117.30454,0.59155212,0.662270856,0.699513043,388.6459879,1304.668547,44.0351451,3.57E-06,610.90951,820.2373631,57.44818941,436.9064274
249.8584458,56.08428738,926.7046708,0.925366306,1.361266502,0.302584876,424.9638525,1226.796438,38.13142157,6.53E-06,466.781091,631.2227869,38.72263622,381.1720309
282.0765846,89.43630284,1142.871703,1.474550854,1.934075175,0.796916809,645.1210876,1211.276536,25.95628577,3.75E-06,478.3600514,836.8000447,45.01047011,466.1324567
351.1102277,143.7357714,1162.457302,0.117202907,0.19579187,0.289039871,357.3569073,1297.898032,34.8448537,1.64E-05,553.5706364,759.6991808,53.76175273,417.1183638
245.7596331,134.4030927,910.761795,1.21996258,1.79173021,1.556532295,437.1861293,1552.594328,42.26930737,5.23E-06,495.8854377,687.6870518,41.54543987,429.7439414
215.395982,53.08438595,1193.408589,1.265254201,1.196074282,1.935921166,960.6364675,1366.365462,43.11235361,1.46E-05,450.2864692,796.7331905,36.70310273,538.3527503
257.9502906,152.3749687,856.2846112,1.311607669,1.171447177,1.943141468,983.5427628,1488.133348,34.98855236,1.89E-05,478.8642106,792.4859996,43.9437141,553.8427529
232.2442575,63.66608578,880.8062674,0.559841952,1.050529217,1.743635089,563.3815305,1567.314014,29.1564359,1.10E-05,410.7245183,662.8458668,37.55024306,443.7470601
385.9395305,63.57264222,873.6899357,1.456700174,0.231848763,1.241505084,946.3002147,1363.216185,49.21227746,1.13E-05,611.3270864,609.1192244,52.02570391,522.4986745
361.6240759,110.5461634,1157.595884,0.273643824,0.270766018,1.431644825,681.377273,1276.510948,39.90087833,9.76E-06,547.6349971,730.0867761,53.87343728,459.4957396
326.6807513,118.9409902,1061.717021,0.478613639,1.241732811,0.641891025,488.8197261,1406.847172,32.24712558,7.19E-06,428.2729199,770.8535608,48.98605922,443.5046821
374.292118,117.0129312,860.8417133,1.767193089,0.747821286,1.298463798,791.6791048,1563.233475,28.41389673,1.00E-05,451.5081979,862.9815835,53.77273645,537.1090327
360.7344154,43.72302561,976.1293673,1.503573986,1.842809326,0.965734144,761.2312646,1521.749766,41.93308949,1.25E-05,430.7603614,878.4650387,51.67501274,522.889303
237.3140118,161.6191294,1046.11921,0.126116553,0.872522021,1.015832946,992.3877234,1226.331937,27.26550337,1.97E-05,583.7778425,758.6415654,42.4208366,540.7267037
378.5117997,69.84000639,833.385634,0.571914895,0.372234772,1.539775465,485.5331012,1477.02912,25.15129967,1.88E-05,428.2631091,826.1410451,50.00663602,444.8810668
307.8684484,49.42723819,1152.966547,0.507372318,1.457965784,0.635644876,770.4416519,1428.759009,35.89501667,1.74E-05,626.2846999,731.7909817,45.04498796,505.1368153
361.488031,163.312212,1121.441414,0.614532023,0.657371501,0.704275262,336.4166285,1562.985271,28.69962178,1.79E-05,406.1532758,823.824647,55.68474612,424.35468
379.21826,173.3477247,1002.082709,0.570363564,1.098393584,1.856819403,379.5522271,1248.992567,38.86715435,9.89E-06,474.8127364,661.4404575,54.85080351,384.5828424
263.600695,159.3191426,1186.850646,0.218799962,1.425882292,0.20682616,302.7428625,1413.614445,23.53816025,1.35E-05,667.2000028,711.3194204,47.17809838,406.505489
222.0103849,151.4274112,967.1043917,0.971986982,1.810501811,1.022705167,999.6224767,1551.785077,39.64823314,1.80E-05,615.5593954,790.2683996,39.83158586,578.8603541
245.5870325,128.2862971,1193.644128,1.492193602,1.60516327,1.834321521,861.591588,1364.009515,28.49889584,8.47E-06,421.8904999,605.4473897,42.89370635,472.4905598
285.4215577,112.6286056,1067.168,1.252790277,1.385086029,1.259689715,850.7061103,1392.797967,20.00728803,1.93E-05,646.3378313,816.7383931,46.89231489,536.0060754
363.6029532,43.04801399,1053.868509,1.37845617,1.391303047,1.138173441,656.8082527,1228.184271,23.80808173,8.90E-06,547.9105365,850.6606504,49.30361701,482.2369018
372.1461167,91.26798196,866.3819581,0.254183439,1.897256824,0.574513941,510.046958,1311.257456,48.00846134,1.24E-05,654.0349082,719.7424983,50.91433285,443.5444428
201.3904261,85.90327755,1152.771103,1.907832349,0.662065785,0.752223429,405.8849991,1329.80266,46.02063917,1.45E-05,580.2219323,734.3827252,38.73134051,415.9138619
302.1494605,68.96306756,970.9958752,1.693134484,0.102112979,1.71889199,499.2723172,1578.048979,27.00827096,1.91E-05,604.5499096,855.3846637,43.18482192,504.5485638
283.4822006,138.5130171,864.8933623,1.629671605,0.616713663,1.16251445,563.1798554,1313.066944,43.35115714,5.65E-06,698.0504681,832.6963906,43.6225591,480.0187124
244.4215621,104.3813603,805.043008,1.66366923,0.513993621,1.078010168,829.4170679,1384.347494,38.2571478,1.52E-05,469.7006638,686.4448467,39.18259523,479.4020108
223.9730735,42.15693239,1023.902273,1.872149965,1.357485712,0.289201456,677.7632522,1468.521769,49.12714134,1.09E-05,587.1836724,697.192832,37.29482505,478.8076248
267.5230343,63.02748029,1010.959849,1.134082536,1.30405204,0.130453497,354.2385386,1264.873349,31.20816979,6.10E-06,538.096417,803.6634697,39.42328179,407.1014034
388.5819408,132.4888145,1087.741449,0.480535834,1.227576627,1.931001859,312.6203063,1394.576955,40.44381838,1.58E-05,411.8355859,768.9594277,57.76248031,403.11012
264.6405864,41.41962892,1156.103221,1.271888855,0.130862542,0.816273718,371.6325257,1495.415616,21.90607167,1.15E-05,404.3411925,648.6688713,41.51552977,396.7395272
303.7581243,157.6810371,831.7626339,1.511474838,1.484678303,1.246104818,587.3490996,1546.742085,31.8874204,1.36E-05,435.7685733,692.9789728,45.96869202,457.9046155
340.6037918,104.2719791,1092.598596,1.502043047,0.714707784,0.251458639,953.2350419,1450.50371,48.91452984,7.14E-06,594.7275222,869.9949831,52.01419102,569.7647424
272.7259205,102.0879866,874.9647776,1.090753146,1.363606379,1.397917143,746.1817368,1467.621406,36.16942623,1.01E-05,570.1489264,806.452331,43.23728695,514.715567
394.3564165,118.8611677,1143.270821,0.230071567,1.157499014,1.871876747,861.2781299,1250.513389,28.6363851,1.27E-05,566.0288683,895.7922953,57.33628352,532.6454746
392.489459,153.7021449,1127.625406,0.805114583,0.751188758,1.193763981,626.4622162,1578.310599,23.60812889,8.69E-06,409.5570288,830.103759,60.32932028,490.8743984
250.3564592,82.17138119,1016.317502,1.849456556,0.355694907,0.339619113,553.1662582,1253.029631,41.10585021,4.77E-06,540.7908989,882.5923296,41.54320614,472.7657303
299.4497012,131.7024229,1084.097119,1.210452929,0.279395906,1.205270902,375.8802609,1509.869175,39.3456813,1.93E-05,677.3868454,664.8565722,48.4042798,430.52063
260.175662,114.8597946,925.7400453,1.122830692,1.679884833,1.556059705,913.1531155,1305.926529,31.21816141,1.07E-05,519.2775608,831.4454624,41.94310373,535.5015969
256.9680989,70.05424053,988.4671596,0.610821677,1.84495533,0.872191419,848.2120203,1573.437257,48.52824056,1.49E-05,587.4767409,606.065256,39.14470134,511.8710618
207.3773895,161.794498,1128.654759,0.800052948,1.334597289,1.771691721,417.6826683,1487.983816,20.66608439,8.81E-06,633.9456027,801.2280065,41.23119193,461.4305933
321.9128668,149.6139032,983.7060789,1.801157569,0.296524818,1.332497611,658.5823947,1501.525485,29.11171555,7.75E-06,635.1775837,740.7846834,51.3348373,496.4400586
300.5358046,128.7677752,943.1193061,1.36627979,0.863851712,1.808572945,641.1623655,1287.623669,47.63208459,8.74E-06,555.7840247,704.0280216,46.90299542,457.5546915
210.2957502,157.5872594,997.6849789,1.596035351,1.48498448,1.284660091,737.5640869,1377.215991,29.62806315,8.77E-06,657.3855836,858.7213057,38.18873181,530.1426704
255.7292928,160.0941301,1131.299701,0.963256304,1.58165968,0.349447147,962.3308258,1447.125278,27.56758502,1.13E-05,517.413428,856.2803078,47.18536218,558.2292471
381.6531772,136.2544465,934.0832189,1.297469717,0.324615382,0.688414251,705.8400092,1507.989447,36.0266123,1.13E-05,666.6079644,606.6905115,55.39289778,477.4884631
247.9123781,155.5519993,869.5046373,0.571928857,0.100058366,0.483410402,678.1520867,1241.58375,44.7140525,1.04E-05,472.0681499,782.8515367,41.29692367,459.8720095
228.9789744,134.6207193,1084.805608,1.440375578,1.453060387,1.826770346,335.2260531,1584.946127,23.09440283,3.56E-06,484.0649221,710.3496673,42.85560785,418.0855419
297.8905521,132.0211158,1130.391285,0.912442534,0.777532734,1.544760128,344.0352332,1556.088268,48.29062129,1.04E-05,415.9361873,724.6983005,50.21709555,404.0950222
397.1300908,122.7917067,840.2549914,0.940836478,0.58351453,1.385156901,431.1427539,1308.139436,43.85218644,4.21E-06,638.674551,849.6122218,52.37573674,455.3357737
248.4110543,142.9074959,895.9496451,1.333712417,0.124505193,0.671836007,322.7295402,1529.104097,25.43750767,3.40E-06,525.1165709,692.9519315,42.2188153,409.2842711
334.4271095,53.79076579,856.7887959,1.878933181,1.126568873,0.449685067,820.3470269,1407.329569,41.36023884,1.87E-05,468.7349842,882.9146432,44.64086225,536
352.3239231,162.1306139,939.1765646,0.221612059,1.717186397,1.537257067,806.3312128,1384.722593,31.54876168,1.25E-05,469.5370833,653.8901479,54.16321252,475.6880914
247.5275088,160.7765292,980.1403916,1.667012151,1.919500128,1.000900097,395.2393641,1325.773642,32.06884034,1.35E-05,670.4199824,798.816727,44.33044459,439.0174314
345.6432697,34.38709246,1099.530535,0.65552791,1.174915406,0.529000149,885.2552306,1432.387435,43.49870277,8.63E-06,650.1749801,801.6315201,48.70075208,553.4195435
273.5566265,153.8725126,1060.459034,0.943446964,1.077476523,1.271581759,408.3502244,1491.955647,48.88354424,1.83E-05,566.0592656,675.6585484,46.2039138,431.9631015
326.4611661,49.33048012,1048.371427,0.141635325,0.261607132,0.176634319,510.8229109,1364.373162,23.79967619,1.31E-05,584.8332401,697.4251827,43.90774144,434.359481
