Austempering Temperature (°C),Austempering Time (minutes),Initial Temperature (°C),Cooling Rate (°C/min),Chemical Composition (%),Hardness (HV),Strength (MPa),Melting Temperature (°C),Thermal Conductivity (W/m·K),Thermal Expansion Coefficient (1/K),Specific Heat (J/kg·K),Phase Transformation Temperature (°C)
859.6113368,101.383633,865.1849232,23.81011966,1.197535262,433,491,1348.756685,47.84955688,1.95E-05,756.2109123,724.3872371
934.9964475,31.87048058,956.954276,16.69395067,0.947057895,480,540,1243.513323,32.84552445,1.99E-05,637.4369814,625.6049004
959.9263042,43.12926653,875.1478161,9.724813682,1.067541171,458,506,1306.020406,48.99964457,1.75E-05,671.6409277,899.0622756
973.1106844,65.07534213,936.9591444,13.92135671,0.804627605,480,524,1314.013084,48.90859931,1.38E-05,715.6684954,750.6585031
1012.768684,118.8703388,858.6667418,14.22684711,0.27100196,467,547,1205.456337,45.59028366,1.08E-05,599.3768796,778.6155052
988.1383839,94.64219176,929.8991088,23.38828269,0.84804493,483,541,1440.875388,28.83346676,1.78E-05,434.7681152,620.1229432
905.088121,51.65311359,958.7468203,10.7429813,0.982919628,478,515,1382.539847,31.55293186,1.56E-05,614.8426167,824.9881411
872.7164733,60.46489513,962.4141917,11.34434253,1.410781533,467,519,1431.849682,45.53410015,1.42E-05,634.7364472,662.9716779
851.4874464,76.87959012,910.873904,10.11931864,0.227567409,449,486,1418.448205,29.50766015,1.91E-05,698.1757897,869.4162868
935.4629069,41.46449367,852.1829747,5.655193383,0.739303522,447,496,1329.369994,25.0847824,1.11E-05,572.6638185,661.5418921
1016.244821,68.22146113,1014.226287,16.06787343,0.409589665,514,552,1426.562271,36.70403787,1.49E-05,451.0321211,657.2063162
1035.001719,102.761642,916.520525,13.03998838,0.557152514,484,563,1176.547751,48.08464322,1.01E-05,513.5103623,610.9649004
955.7985756,78.05867496,1049.623953,11.48064363,0.228405431,521,540,1208.794859,40.8808939,1.47E-05,545.2329186,741.6200835
885.096788,104.1825418,989.4450054,15.5028183,1.290318434,478,530,1163.568187,37.1018351,1.06E-05,658.3668965,769.45234
904.9208973,76.79382881,952.5903305,5.256962337,1.024798016,462,514,1247.599099,22.91529481,1.12E-05,628.3113219,619.7125918
897.0534144,47.05423252,956.8383471,6.477119674,1.29525661,470,520,1266.603187,38.4502168,1.12E-05,542.4386904,832.658285
990.6688652,80.80092396,1033.084102,16.43075909,1.13212567,515,548,1231.40471,49.7016155,1.65E-05,794.6060995,735.9866504
1042.400733,136.8719226,969.3286498,17.35022823,1.452199663,513,556,1398.621253,24.20252046,1.75E-05,642.3099277,757.3170808
930.1666588,33.5798494,1006.422903,22.65176549,0.370373169,483,548,1257.025998,35.54988957,1.58E-05,494.8907167,732.2288241
868.7269353,49.75530341,948.8549359,6.37099969,0.8925448,453,508,1234.280353,46.32119216,1.96E-05,440.712989,720.2289183
1029.781878,99.16600035,1006.42819,19.18811165,1.292840268,519,588,1312.808825,42.22305853,1.37E-05,461.1436557,767.8920994
868.4867161,72.954225,1029.604561,6.185366552,0.250112129,491,521,1192.277267,40.91047223,1.29E-05,498.3830914,646.5720738
1027.300016,62.42595165,1044.604694,23.99152838,0.979868664,527,560,1390.659094,41.07452252,1.87E-05,464.2725493,654.5784391
942.6189269,113.3365049,912.6016175,13.53443715,0.287029416,471,538,1172.365193,30.78473454,1.22E-05,474.6268096,858.5356863
1014.902825,78.19280971,914.7902885,23.32868947,0.374777803,487,535,1446.066081,28.80775533,1.96E-05,514.0380675,883.8346386
1011.680903,110.3528025,892.1305286,16.0079762,1.434838462,482,526,1381.673431,44.28083466,1.01E-05,469.3494381,711.9927949
1040.030532,144.7704685,940.5937981,22.90265471,1.418107613,499,571,1209.614704,44.30340184,1.97E-05,758.7061699,681.2234019
1017.347307,134.9040703,901.9911761,17.1830599,0.20237901,484,554,1151.656635,46.01216956,1.04E-05,432.0934983,793.199863
899.1007332,82.3862963,873.2020004,17.73897163,0.717360456,446,501,1394.638429,47.39721658,1.89E-05,609.8045558,722.6202513
1017.11858,88.95252841,1008.328764,13.68275305,0.678688841,509,563,1362.057203,35.34027197,1.53E-05,564.1587308,607.6159067
1040.365779,91.4676095,859.83159,9.285397765,0.232074598,471,536,1368.70215,35.04548884,1.99E-05,792.9514468,646.8457792
1012.883036,49.03938091,1030.527933,6.418282339,1.435954918,514,569,1381.381104,43.94885537,1.07E-05,444.8155609,814.7916687
1047.330217,65.67034047,875.8483843,12.0824701,0.973099569,478,553,1172.213396,39.49891792,1.55E-05,559.1422396,797.6771826
1030.385024,126.4549891,895.1393806,6.407248845,1.42748143,490,548,1257.539719,41.05900632,1.97E-05,787.7881733,608.1287978
926.7053434,130.7878348,997.1838963,23.24721587,0.527480866,483,548,1184.760718,43.87378008,1.52E-05,746.2028504,666.5916486
926.6473917,46.49017336,931.9234596,19.88337252,0.802375286,459,509,1408.931028,46.70016025,1.63E-05,726.8288284,669.322439
1036.499071,113.9169571,1002.852725,16.47273148,0.819615987,516,580,1336.989438,30.13985471,1.70E-05,503.1611308,801.5678231
1042.901266,31.86805221,945.3046623,20.3979888,1.484062893,494,559,1249.269407,31.26748858,1.45E-05,468.355035,605.9131613
1021.078693,72.35872956,922.6261405,6.833023331,0.596958876,489,557,1169.067505,22.8194582,1.63E-05,667.457288,631.2325746
1037.243367,99.38165708,897.500795,22.89491138,0.478192341,478,550,1243.294697,37.34840423,1.58E-05,771.7503957,839.9748256
896.1735311,52.07655055,1042.123144,17.4290898,0.471011359,495,533,1247.554997,21.07826821,1.90E-05,622.7051572,653.5633986
948.3807489,52.71937693,970.7922961,20.23790936,0.529012198,472,553,1368.881854,33.96794054,1.05E-05,628.6450758,795.8238324
948.1491383,34.75716747,920.2492091,14.56364837,0.787742577,461,513,1341.267241,36.27933904,1.28E-05,511.9916375,671.4548343
978.448027,143.4825385,1026.639969,8.216594127,0.999276912,512,584,1416.163823,28.59623756,1.95E-05,707.7971733,629.8324178
930.4281304,108.5860686,994.9718694,12.11871145,1.159686303,495,556,1291.664478,37.72499782,1.89E-05,474.8174994,672.9516573
998.5675161,123.5108206,1018.565287,20.54568132,0.885351537,517,566,1185.878274,20.9150075,1.46E-05,529.4716946,816.6800796
1013.454344,131.8555196,956.209378,15.54923819,1.081132494,498,554,1363.973436,21.12044566,1.62E-05,570.1745754,856.7089404
1049.075457,145.4071781,912.3122818,23.88785553,0.785919516,503,560,1378.235515,44.67801682,1.28E-05,603.0441515,849.0659594
998.8640999,83.75013625,945.0166528,20.92292431,0.554446832,482,538,1318.383159,30.80571924,1.19E-05,496.963893,719.1550589
924.0094726,116.9493478,936.5798178,23.28485101,0.232574531,480,520,1381.290154,23.81181538,1.46E-05,445.9347299,800.425541
1014.697423,131.8576779,1048.955915,24.72424765,0.628611606,531,585,1298.138679,35.6672978,1.35E-05,644.248017,661.4952886
918.8650241,127.8174312,994.5799935,5.319040368,1.413186163,497,565,1306.819849,43.09980659,1.58E-05,515.4522213,687.9443191
867.6212019,37.873714,1011.472919,12.17721806,1.050618074,479,511,1278.262306,26.47463082,1.08E-05,632.4952886,868.9007456
1039.296165,129.9219947,854.1423573,17.56978218,0.928608487,473,541,1157.625738,38.68671427,1.97E-05,461.7450861,603.9005771
859.3353427,148.801848,932.5116788,16.9014521,1.372976815,461,510,1182.367428,22.56042395,1.99E-05,592.4560407,625.6525593
1043.941735,75.0865603,1021.802483,7.929083633,1.320300683,519,570,1159.428756,21.55045164,1.70E-05,613.035773,662.3658765
951.4377212,94.50583767,898.5993977,15.83864476,0.720957601,461,521,1340.923123,35.94063895,1.54E-05,420.7294147,607.9596612
851.6463722,45.23542884,871.6854769,5.152341776,0.88856961,431,485,1244.306794,36.21905365,1.31E-05,534.6417113,654.4306305
995.6604155,86.52283648,913.7818865,18.32720262,0.755073661,474,539,1302.571207,39.12289704,1.81E-05,453.7658708,774.9124683
940.5266947,85.4587339,929.7559076,13.5435394,0.72577251,472,540,1422.269942,41.78274001,1.68E-05,425.3499882,726.4273652
928.9580553,109.783514,851.2228394,12.35905454,0.799878665,455,501,1224.787669,49.27556238,1.16E-05,795.984093,867.8015133
927.9806221,129.162372,888.2483624,23.78612955,0.906292338,467,517,1273.114877,35.48901045,1.91E-05,528.941538,845.2330685
987.1017938,85.61819784,984.826001,6.355145953,1.29552547,498,554,1376.665342,29.68869419,1.82E-05,723.9497783,702.5452055
1036.083154,48.42159928,935.469678,20.85168371,1.14131121,483,540,1218.63945,43.85558584,1.95E-05,501.8562619,677.82703
943.3759904,132.6797843,952.360511,12.58627916,1.13937379,482,541,1173.093973,28.12496754,1.73E-05,672.6010889,713.9077225
956.4091752,132.6294815,1031.320306,13.50983479,0.218372903,519,550,1236.925436,33.16914262,1.61E-05,704.091144,777.0884828
922.2080486,116.3126867,938.9020131,11.09357715,1.258737099,475,523,1198.366386,22.35369144,1.42E-05,638.2554962,680.4190922
909.1715407,77.74464105,982.6782692,8.167410989,0.89653094,482,543,1428.909296,20.7605223,1.93E-05,588.6304754,787.2446724
875.567818,93.3287665,1025.90384,18.41264299,0.389358074,496,541,1392.436114,48.87945244,1.87E-05,564.7363657,722.8234957
919.2668246,43.32764215,993.3543667,22.60406894,0.320943029,479,536,1340.021127,45.07940362,1.05E-05,539.5473066,765.6141543
940.9357525,76.60794207,924.2998775,24.50855829,1.384292234,464,513,1411.438177,40.87922618,1.03E-05,771.8116577,730.8379587
906.3166383,73.72961521,858.1085224,8.921016904,0.461235614,446,503,1391.101623,32.26858833,1.38E-05,732.2477631,688.3397279
979.9042189,36.00825815,922.9516629,18.0612111,0.422560232,471,517,1205.971018,25.1988296,1.81E-05,786.0107643,884.5359921
899.5516211,99.50207431,1004.352479,13.38968437,1.096513056,480,537,1417.7677,24.69311128,1.99E-05,449.7188894,829.0817382
995.116219,113.9380817,890.8792181,10.04510474,0.797460397,474,535,1311.802673,27.50728694,1.15E-05,692.3469901,642.0339527
858.9992834,71.53853421,877.5995253,18.98863508,1.138559307,430,506,1392.232047,36.47679994,1.59E-05,775.3361827,860.5403928
1041.364843,133.8297501,935.3453385,14.36189451,1.229222677,495,557,1418.82739,41.43787768,1.38E-05,472.4932265,746.2293595
1031.521556,137.5238051,993.8792703,12.92822633,1.062663226,515,578,1245.401042,39.8059213,1.97E-05,426.5985069,868.3656681
890.7715213,69.01404555,1048.0739,16.08340077,0.672125446,498,522,1183.015577,28.39801691,1.84E-05,696.4482597,839.9565768
929.3821333,104.2322418,955.0283367,24.68838851,1.194728236,487,521,1218.380549,48.64595842,1.84E-05,629.7892453,727.5640513
884.887233,36.55822878,981.4417054,18.57190046,1.050933171,466,516,1278.132337,42.1369075,1.47E-05,736.7315107,606.7407925
950.3950265,69.32001957,963.7335221,9.071705518,1.478482137,487,529,1395.40443,36.63062158,1.41E-05,455.9089507,680.6032078
876.0606957,98.15058795,1036.797438,17.66105839,1.39443192,498,505,1408.219175,38.35162239,1.27E-05,718.1069247,762.4902644
905.0707058,138.2629136,979.3625997,6.894958851,0.3217311,492,540,1152.085639,32.58800187,1.06E-05,480.650928,790.0434659
912.0091686,132.0484676,1039.677555,8.530504763,0.652256514,500,551,1303.224191,27.43192969,1.86E-05,465.4623771,677.3663056
907.4387746,105.51556,936.4199201,10.20429608,0.625829707,468,523,1275.223301,30.67918036,1.81E-05,465.7063192,641.8068222
1020.150446,66.85049994,967.6170118,6.12796625,1.331458794,495,549,1216.632343,42.73538331,2.00E-05,725.8298881,850.479071
949.9823084,53.98594435,1002.200329,11.45925565,1.415452172,492,553,1185.95961,20.43180466,2.00E-05,666.0788883,895.3206542
853.8482257,125.8562125,938.5078319,19.81677387,0.822984762,464,504,1251.284551,23.48217922,1.56E-05,609.2261699,757.7070547
859.2059131,35.1616177,851.6028458,8.088578017,1.498436423,426,473,1432.872911,21.38007926,1.77E-05,543.5321936,651.5037858
1039.262758,42.65231163,976.8077805,18.16461458,0.55048589,499,572,1246.96088,21.22186407,1.94E-05,750.8802163,681.692198
960.0726596,44.34673228,951.8457427,22.72199494,0.67804317,475,526,1305.637187,45.66381752,1.85E-05,556.978043,605.517203
930.1094827,36.3418555,1024.676403,8.841823732,0.412719071,496,546,1360.905688,41.10973578,1.25E-05,726.6397758,874.289642
971.0766803,140.6838326,934.4123668,19.39764061,0.671802555,481,548,1259.088881,34.22521487,1.45E-05,575.6539634,635.3253249
930.7141294,79.59628902,906.1437573,16.50846574,1.054499188,463,543,1441.534625,22.93502482,1.13E-05,550.7777718,772.9549427
971.4455803,94.41479146,1034.921647,19.61292368,0.749354613,517,563,1438.734188,34.74847625,1.95E-05,585.0719143,682.2165662
1030.208079,68.23372,979.1159547,22.23572521,0.706255148,513,562,1225.534689,34.20415312,1.61E-05,520.5511497,766.2534008
860.1498782,146.7235417,1038.757656,12.57635603,0.501167136,500,539,1299.174552,25.1960561,1.23E-05,699.0437521,795.4261165
993.8715862,116.204102,1025.656921,16.73754174,0.671914542,513,567,1240.263493,33.01554948,1.67E-05,601.088156,848.9225411
1030.734553,102.4937758,952.2025957,8.117604565,1.114782965,498,567,1235.452148,31.95514203,1.62E-05,492.8850781,661.9263815
1043.316723,81.43063366,994.8990873,10.52032293,1.379878595,527,578,1161.066084,38.47550294,1.36E-05,759.8298293,603.2987486
891.2724418,86.54759149,1021.832358,7.176213401,1.027568123,494,532,1332.8693,39.05280953,1.11E-05,553.5564885,641.065689
950.0847849,56.41254248,886.9013836,21.59395986,0.954142248,454,502,1300.803707,21.35912029,1.67E-05,617.4211444,870.0055926
870.7011713,90.26947608,917.6945997,16.88611086,0.37705812,456,502,1165.443625,31.23837844,1.52E-05,762.5888444,862.1670233
953.2411234,46.94223569,1031.460559,15.54544032,1.200854617,504,543,1233.593939,38.77579747,1.77E-05,649.6951984,779.2239307
870.6001955,140.2900274,984.7132618,16.76121284,0.969609303,471,510,1422.479766,35.09408776,1.52E-05,446.7592163,780.1550581
918.6604751,91.22466145,1013.361532,9.329051479,0.409323279,496,539,1221.868567,45.69469524,1.85E-05,775.9328494,799.5110024
901.5180075,44.60337795,967.7248253,14.29859693,0.925451088,467,508,1193.468462,39.76080895,1.55E-05,651.0832212,652.6113836
876.9824991,80.43905868,1030.149815,5.115324088,0.647852822,491,539,1296.835828,24.88803281,1.56E-05,533.9622459,874.3235838
951.9460099,93.24971644,885.4956089,19.24232023,1.099589308,463,512,1445.695136,22.11706242,1.88E-05,455.7088291,725.6311575
951.287921,50.73662628,951.9060419,14.60849879,1.077209608,487,537,1222.616581,39.27257835,1.40E-05,717.6100757,714.9415585
857.0787452,85.35155001,928.8897769,19.40015818,0.561441022,458,484,1351.640664,20.79533932,1.13E-05,648.0291024,755.6753116
961.3831702,148.6671746,962.2194913,11.59619135,1.160572796,493,548,1378.485885,37.57326744,1.03E-05,613.3844368,614.08979
870.8608095,126.5322959,958.4644984,8.979948341,1.149457935,485,530,1221.291263,48.20690724,1.76E-05,757.5570332,649.8850106
936.4925834,37.98034551,997.4200695,22.11193574,0.587815665,489,517,1368.464905,37.26422534,1.62E-05,715.4388845,821.4100849
1047.619422,70.27639631,988.6700863,12.90671246,1.030005752,510,578,1260.33494,31.64509779,1.70E-05,460.6699519,624.8396004
866.6324894,91.77038287,874.5071329,8.26673341,1.467856157,444,478,1339.691749,39.29864655,1.21E-05,524.6888271,780.9456328
995.694646,148.8319166,1049.565884,6.151624601,0.617988039,531,572,1340.058913,33.74758671,1.14E-05,499.3956559,673.6047329
1045.078928,134.0655815,962.2824373,20.32839631,1.492495081,503,566,1310.732405,36.36850368,1.01E-05,697.578517,716.7886842
915.0943066,88.20203536,957.5633795,16.14426695,1.403380118,474,535,1177.086931,48.24394426,1.35E-05,413.4129739,686.608121
895.4769161,49.16971706,1009.640271,24.87501035,0.764117459,474,526,1400.590749,31.58307913,1.59E-05,627.9558739,706.7018149
913.0802662,137.6960242,944.886615,6.42725465,0.651995733,471,535,1246.234019,48.83571691,1.39E-05,704.9834743,815.7137716
866.7910978,59.01266935,1007.263852,6.747460986,0.982894028,483,523,1205.955553,47.16051926,1.44E-05,750.7062547,689.1365147
1025.174808,143.4385038,978.3994482,18.90492785,0.572731672,516,574,1162.232542,25.87373404,1.90E-05,536.8326995,769.9213921
876.2292789,75.4987961,858.4047114,12.00887334,1.170252181,436,475,1327.267883,22.08083903,1.35E-05,728.5029219,742.8151207
894.2354723,64.2020755,1003.329127,5.989483604,1.238975149,482,523,1353.269309,23.02334004,1.51E-05,444.2526948,799.1013496
1035.863724,96.53277154,868.1641718,16.99482187,1.358470557,479,528,1154.976349,20.54665477,1.78E-05,738.5809167,881.0489218
878.361234,117.1807786,907.8844853,5.15766145,0.957001666,454,506,1303.627917,22.83328882,1.40E-05,450.9954649,819.7716292
881.682669,114.6130168,890.2268423,23.11592322,0.423081213,449,501,1217.948733,40.4902032,1.62E-05,558.9149162,664.4821136
871.666269,34.46208809,1024.773541,23.88742396,1.473659774,472,517,1343.551837,22.13565945,1.86E-05,718.9181463,609.3549405
1012.769221,92.16637237,975.8681214,24.90213843,0.880878959,499,548,1202.309929,29.56926891,1.95E-05,459.9669709,678.6792133
1019.305057,62.62967039,1006.67492,5.661914331,0.710542711,517,564,1357.281321,45.34625933,1.15E-05,491.7005581,778.5233792
893.8716949,53.8274367,1029.299315,8.740491071,0.757125101,494,528,1266.020604,20.69815807,1.93E-05,688.9010274,615.427744
967.3513991,130.4134492,911.828434,13.13893707,0.856896509,475,524,1431.018997,44.43405448,1.49E-05,688.0146146,748.9098742
905.5394646,133.3163004,972.4299401,20.07788989,1.060152308,492,543,1191.256283,28.45564324,1.26E-05,656.4590532,779.0528547
965.2980734,53.65049547,953.5668194,14.36334123,0.848704588,478,534,1252.319905,23.54494483,1.46E-05,677.5793778,700.2731672
960.5775059,100.8915479,941.0341186,12.26616505,0.913372872,476,529,1184.042056,40.90211496,1.98E-05,617.0897773,831.2736611
1029.881782,104.8587166,863.3992748,5.412369981,0.764845561,475,554,1427.408085,38.8682854,1.49E-05,500.7196236,631.9794759
987.3088109,118.0449055,926.093071,14.00680417,0.388054287,488,541,1413.201806,46.32416041,1.33E-05,538.2783974,622.5413345
893.6407748,52.58507127,896.984047,11.51158448,0.822439701,452,495,1227.382488,42.05213131,1.63E-05,472.6390867,818.4566269
1013.103997,30.93555253,978.0675777,14.10822291,0.639951667,499,551,1347.995214,44.10442791,1.24E-05,763.3802245,748.6473949
929.9016035,43.16089722,1039.474925,19.6887415,1.438968887,505,536,1395.16666,28.46103718,1.08E-05,633.3567179,806.5207189
861.7184308,101.0383562,904.5858233,5.220600683,0.450805477,455,495,1316.560243,25.32318631,1.13E-05,560.3405667,730.4482016
1039.553203,51.90180092,1009.8751,16.66867606,1.273746059,518,569,1308.895174,42.51844255,1.13E-05,584.8023215,673.92061
952.6376779,81.93510768,1023.967587,10.52949258,1.28270252,509,551,1222.555687,44.20504218,1.15E-05,778.9133358,845.7306953
997.8351036,74.09906529,852.3089784,20.37505274,0.239991418,462,520,1177.93083,49.71515426,1.14E-05,461.3405612,839.8247637
860.7311123,52.48692991,957.9305726,15.88771083,0.272195023,465,509,1419.164727,32.37853031,1.64E-05,634.4919328,808.4089413
1021.192251,112.7475461,937.197249,16.03846941,0.803128824,491,563,1420.125417,31.16054257,1.18E-05,602.3554716,681.6435412
1025.943815,57.73826186,981.0695048,19.67828923,0.327501343,510,557,1339.930437,43.29238882,1.35E-05,644.5816942,777.0692001
990.5622376,55.32352795,997.0600662,17.0496548,1.084884741,499,546,1251.708937,30.22410621,1.90E-05,407.2440735,708.2921691
858.8438399,66.60048489,873.1779109,8.099320531,1.316472981,444,499,1254.762872,47.92271977,1.47E-05,748.8495636,627.474622
852.2750323,115.6686203,966.0618437,13.95940653,1.246320661,467,506,1367.786704,45.75238256,1.67E-05,772.847313,875.1940726
1040.032318,77.68543558,969.7627827,9.00480133,0.339175481,505,565,1419.133078,32.86982082,1.17E-05,626.0532734,641.0455893
1018.321975,105.8672165,1042.696974,5.898011423,0.623270421,533,568,1416.125927,42.52613203,1.19E-05,678.6603296,885.0712061
877.4229002,123.2461188,938.0615165,14.44271503,1.368202022,467,502,1383.962664,42.63628622,1.04E-05,768.9997525,733.8017319
